ea1,ea2
308,574
308,49
308,351
308,336
308,584
308,467
378,510
378,85
378,190
378,148
378,357
378,37
378,10
378,135
378,105
378,23
378,413
378,168
378,529
378,591
378,121
378,139
378,275
378,339
378,73
378,452
378,209
378,334
378,408
378,68
378,505
378,372
378,263
378,213
378,141
378,602
378,230
378,102
479,139
479,408
41,510
41,85
41,190
41,148
41,357
41,37
41,10
41,135
41,105
41,23
41,413
41,168
41,139
41,408
522,139
522,408
522,585
408,591
408,465
408,445
408,121
408,98
408,417
408,308
408,378
408,479
408,41
408,522
408,145
408,156
408,523
408,498
408,590
408,503
408,536
408,232
408,183
408,552
408,237
408,409
145,139
145,408
523,139
523,408
498,139
498,408
419,529
419,591
419,121
419,139
419,275
419,339
419,73
419,452
419,209
419,334
419,130
419,350
419,161
419,572
419,82
419,285
385,529
385,591
385,121
385,139
385,275
385,339
385,73
385,452
385,209
385,334
270,529
270,591
270,121
270,139
270,275
270,339
270,73
270,452
270,209
270,334
270,356
270,218
275,178
275,112
275,175
275,419
275,435
275,385
275,270
275,378
275,61
275,599
275,56
275,253
275,153
275,83
275,160
275,518
275,464
275,46
275,207
339,178
339,112
339,175
339,419
339,435
339,385
339,270
339,378
339,61
339,599
339,56
339,253
339,153
339,83
339,160
339,518
339,464
339,46
339,207
61,529
61,591
61,121
61,139
61,275
61,339
61,73
61,452
61,209
61,334
217,510
217,85
217,190
217,148
217,357
217,37
217,10
217,135
217,105
217,23
217,413
217,168
458,510
458,85
458,190
458,148
458,357
458,37
458,10
458,135
458,105
458,23
458,413
458,168
458,401
458,543
320,510
320,85
320,190
320,148
320,357
320,37
320,10
320,135
320,105
320,23
320,413
320,168
320,395
320,161
320,467
320,134
320,224
320,81
320,130
320,350
320,572
320,82
320,285
320,545
320,17
320,109
516,510
516,85
516,190
516,148
516,357
516,37
516,10
516,135
516,105
516,23
516,413
516,168
327,510
327,85
327,190
327,148
327,357
327,37
327,10
327,135
327,105
327,23
327,413
327,168
327,590
327,503
327,536
327,232
327,183
327,552
327,237
327,409
327,601
327,504
327,271
327,341
327,31
327,496
